"ProvincialSeedlotsID","ExperimentalClimate","HtFinalS01_mm","HeightFinalS02_mm","FinalStemDiamS02_mm","MaxGthRate_mm_Day","FinalShootWeightS02_g","FinalRootWeightS02_g","TotalWeight","RootShoot_Ratio","BudSet","BudBreakS02_day","LinearGthS02_Days","Gth5pctS02_Day","Gth95pctS02_Day","Gth5.95pctS02_Days","ColdInjuryFallS02_Mean","ColdInjuryMidWinterS02_Mean","ColdInjurySpringS02_Mean","Latitude","Longitude","Elevation","MAT","MWMT","MCMT","TD","log(MAP)","log(MSP)","AHM","SHM","DD0","DD5","NFFD","bFFP","eFFP","FFP","PAS","EMT","EXT","Eref","CMD"
"BC_TSC_48079","MAT06",40.1400203646855,91.6651342806845,2.56892507889251,1.60035037650887,1.7870841649934,0.708560635333086,2.49401539090383,0.391385680853619,162.640435092089,46.0412233055864,5.60166884242841,126.84696962582,173.001125056876,46.1654879071245,62.2980895347561,49.1380013527398,67.1244760429442,49.62,-120.43,1290,3.7,14.3,-6.7,21,6.29526600143965,5.29330482472449,25.3,71.6,818,1121,158,157,256,99,232,-36.6,33.9,572,309
"BC_TSC_48147","MAT06",37.1817798315512,105.000005027982,2.99432720215674,1.74419570275514,2.41616006052967,1.12277181365142,3.53888125363507,0.41554887547754,155.66631387426,45.9247224998468,6.22690912214297,127.883445188345,182.858391562217,55.1666019697596,73.6661810587728,55.5330748022963,75.9958037892435,50.87,-123.38,1150,2.4,12.1,-7.9,20,7.18538701558042,5.59471137960184,9.4,45,963,837,130,173,244,71,738,-39.3,31.7,532,192
"BC_TSC_48204","MAT06",29.9887093151908,91.2496858165896,2.76962526122779,2.2597568778275,2.53966505398412,1.16683696193095,3.70621748770368,0.393922679746669,156.993892949981,47.1430509123077,4.13404408775639,133.94535587002,169.728963001023,35.5248742973412,64.1713774585283,50.4727987939926,63.0161133304619,52.88,-125.67,1050,1.5,12.2,-10.6,22.8,6.10479323241498,5.14749447681345,25.8,70.8,1196,809,119,178,237,60,217,-42.8,31.9,527,310
"BC_TSC_48238","MAT06",34.1348064362235,92.0007747471682,2.77141700153504,2.16286872363043,1.76765737240504,0.66853493444004,2.43696031365986,0.36299735135974,153.67972612341,45.9246892907055,4.66033068127279,131.35045286791,171.059723020486,39.8672108719288,52.8410189948305,48.0197982468277,68.37896776245,55.39,-124.72,1205,0.6,12.2,-11,23.2,6.60258789218934,5.78996017089725,14.4,37.4,1384,739,134,166,246,80,368,-42.2,29.8,434,89
"BC_TSC_48279","MAT06",48.1363029928083,119.336305253768,3.03003895283782,2.46205282967458,3.13706429716782,1.24054307343433,4.38065584688854,0.386209606248163,165.050434452472,47.141493353321,4.48564658309863,133.987220727206,174.846702204345,41.1688468507091,42.4542097021347,44.0225394107444,47.7215789143548,52.77,-122.13,690,4.3,15.5,-8.5,24,6.27287700654617,5.5683445037611,27,59.1,862,1347,168,147,258,111,162,-39.2,34.5,620,279
"BC_TSC_48304","MAT06",42.9739508079192,105.333920711727,2.78742157375481,2.14861892383912,2.26041319830574,0.651215145723514,2.91233785861615,0.284466292509961,152.678737351449,44.0120773484382,4.78098238785312,129.477550439533,171.697881183916,41.7673180006457,62.584603714395,42.5056641126486,70.770677269432,49.8,-120.7,985,4.4,15,-6.4,21.4,6.43454651878745,5.24702407216049,23.1,78.8,755,1252,163,155,256,101,259,-36.5,34.9,639,349
"BC_TSC_48359","MAT06",37.2413279122704,95.4993300053873,2.78362385441474,1.80006460619433,2.23191086647785,0.87099278551718,3.10209288312464,0.375882208384165,169.987202202488,45.8374257672526,5.73729646232886,131.901658621271,177.944012561165,46.449324707417,53.9436762703156,41.3400783753684,67.1976184959362,55.07,-126.28,740,2.2,13.7,-10.8,24.5,6.30444880242198,5.46806014113513,22.4,57.6,1161,996,148,164,252,87,235,-40.7,32.3,500,224
"BC_TSC_48390","MAT06",31.2638022086978,94.66754934931,2.67984283071573,1.78503558253686,1.48157159350609,0.612519364627116,2.09491744586888,0.385642013763782,166.533196282968,48.4749168257521,5.98540711307956,131.086295120767,182.685945389041,52.0005274495827,59.455840066169,57.6538138708259,70.7291814632708,53.32,-122.5,700,4.2,15.4,-8.6,24,6.62273632394984,5.9427993751267,18.9,40.3,876,1323,168,148,257,109,233,-39.3,34.2,574,143
"BC_TSC_48412","MAT06",31.9049872715126,95.0039391304396,2.82834489079172,2.20414589452955,2.35873275754824,0.820201299234077,3.183151981882,0.328944223281958,166.069564054236,44.7658711438704,4.60643062837371,131.214829818177,171.070190888512,39.5032006660131,89.7933846591189,62.4102106485072,78.5213677144799,51.56,-117.21,1200,2.4,14.4,-10.5,24.9,6.79794041297493,5.77455154554441,13.8,44.8,1175,1065,145,159,249,90,456,-42,33.4,551,165
"BC_TSC_48420","MAT06",36.9471769778567,126.000817500431,2.89903468074009,2.60032793399606,2.92853377455923,1.44450854192648,4.37389802772135,0.411553036861982,159.514487257189,46.0120133022372,4.89987086989693,131.898625983912,182.128960704626,50.2006546312991,81.4675259548597,44.0748908919381,55.8505064587188,51.62,-123.11,1300,1.7,12.7,-10.8,23.5,5.92157841964382,5.34710753071747,31.3,60.6,1193,851,115,177,237,60,135,-45.9,32.8,555,304
